palavras,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
ROSEA,0.5091963,1,0.6579439,163,0.0746959,28
SERAO,0.5091963,1,0.7613084,7,0.0841408,1
ORAIS,0.4878879,2,0.4502804,1030,0.0396604,2086
ROIAS,0.4878879,2,0.7349533,24,0.0772858,10
RAIOS,0.4878879,2,0.6308411,235,0.0651088,218
ROAIS,0.4878879,2,0.5742056,457,0.0527276,1068
RAIES,0.4862804,3,0.6904673,96,0.0709646,68
SAREI,0.4862804,3,0.6145794,295,0.065649,202
SERIA,0.4862804,3,0.6424299,202,0.0696851,84
REAIS,0.4862804,3,0.5671028,491,0.051744,1121
EIRAS,0.4862804,3,0.682243,112,0.0698659,80
MEIAO,0.4862804,3,0.7250467,32,0.0799543,5
AIRES,0.4862804,3,0.6923364,90,0.0649069,224
AREIS,0.4862804,3,0.5213084,706,0.0493143,1292
MOERA,0.4842243,4,0.5500935,573,0.0624675,321
REMOA,0.4842243,4,0.5714019,472,0.065302,209
AREMO,0.4842243,4,0.4697196,940,0.0499746,1235
AUREO,0.4828785,5,0.6824299,111,0.0663606,183
ATEIO,0.4791028,6,0.4534579,1014,0.0492863,1295
ECOAI,0.4786168,7,0.3766355,1341,0.04735,1475
ROTEA,0.4770467,8,0.651215,180,0.0723548,49
TERAO,0.4770467,8,0.753271,12,0.0816022,2
REATO,0.4770467,8,0.5547664,550,0.0537768,995
ECOAR,0.4765607,9,0.3472897,1430,0.0449045,1695
LERAO,0.4733458,10,0.7418692,18,0.0809554,3
TESAO,0.4725981,11,0.6958879,82,0.07688,11
ESTAO,0.4725981,11,0.5128972,742,0.0601195,491
ECOAS,0.4721121,12,0.4854206,873,0.0547168,931
ACESO,0.4721121,12,0.3925234,1278,0.0443755,1744
SECAO,0.4721121,12,0.6923364,90,0.076854,12
ACOES,0.4721121,12,0.495514,826,0.0497578,1260
ESCOA,0.4721121,12,0.3970093,1264,0.048158,1402
COESA,0.4721121,12,0.5536449,555,0.0607766,445
LESAO,0.4688972,13,0.684486,105,0.0762332,16
LEOAS,0.4688972,13,0.6497196,185,0.0688388,110
ALOES,0.4688972,13,0.5117757,747,0.0503212,1209
ONERA,0.4680374,14,0.3734579,1350,0.0459815,1592
ODEIA,0.4661682,15,0.3829907,1316,0.0475631,1449
RODEA,0.4641121,16,0.6323364,229,0.0710858,64
ADORE,0.4641121,16,0.3138318,1533,0.035441,2365
DOERA,0.4641121,16,0.5291589,668,0.0606041,461
ERODA,0.4641121,16,0.4007477,1250,0.0466253,1544
APOIE,0.464,17,0.3388785,1461,0.0375349,2232
APEIO,0.464,17,0.4499065,1032,0.048978,1317
ANOES,0.4635888,18,0.5102804,755,0.0501239,1226
SENAO,0.4635888,18,0.7250467,32,0.0774417,7
MARIO,0.4629159,19,0.6514019,179,0.0682705,130
RIAMO,0.4629159,19,0.4727103,928,0.0455978,1631
MORAI,0.4629159,19,0.6540187,170,0.0700109,76
ROIAM,0.4629159,19,0.6284112,245,0.06732,160
MAIOR,0.4629159,19,0.4893458,857,0.0531612,1041
IRMAO,0.4629159,19,0.557757,535,0.0637038,258
ARPOE,0.4619439,20,0.4143925,1189,0.0439589,1775
OPERA,0.4619439,20,0.3575701,1399,0.0454118,1644
PAREO,0.4619439,20,0.7321495,27,0.0757637,18
RAIOU,0.4615701,21,0.4801869,896,0.0529712,1052
ARMEI,0.4613084,22,0.4719626,931,0.0473636,1472
REMIA,0.4613084,22,0.5635514,508,0.0625844,317
REMAI,0.4613084,22,0.5730841,463,0.0638858,253
RAIEM,0.4613084,22,0.5839252,415,0.0609988,421
AVEIO,0.4602617,23,0.4463551,1047,0.0488598,1332
UREIA,0.4599626,24,0.4442991,1056,0.0516395,1125
SIMAO,0.4584673,25,0.6413084,205,0.0700577,75
SAIMO,0.4584673,25,0.5730841,463,0.0628755,300
SOMAI,0.4584673,25,0.5818692,423,0.0646935,228
MOIAS,0.4584673,25,0.7315888,28,0.0751505,25
MOAIS,0.4584673,25,0.5708411,475,0.0505923,1187
IAMOS,0.4584673,25,0.5373832,635,0.0564292,809
GAROE,0.458243,26,0.5457944,595,0.0595541,538
VERAO,0.4582056,27,0.7431776,16,0.0802369,4
OUSAI,0.4571215,28,0.5,806,0.0529227,1057
MEIAS,0.4568598,29,0.724486,33,0.0741668,35
AMEIS,0.4568598,29,0.4500935,1031,0.0434679,1816
ESIMA,0.4568598,29,0.3747664,1346,0.0453728,1652
ROMAS,0.4564112,30,0.688972,97,0.0722362,50
RAMOS,0.4564112,30,0.5848598,412,0.0600592,493
SOMAR,0.4564112,30,0.5525234,561,0.062248,337
MORSA,0.4564112,30,0.5859813,407,0.0639033,252
MORAS,0.4564112,30,0.7628037,6,0.0773776,9
AFORE,0.4560374,31,0.3115888,1538,0.0353078,2376
REBOA,0.4557383,32,0.548785,580,0.0635959,264
TRAIO,0.4557383,32,0.4841121,879,0.0451107,1674
TROIA,0.4557383,32,0.4656075,959,0.0511112,1155
ATRIO,0.4557383,32,0.5226168,700,0.0534057,1025
ATIRO,0.4557383,32,0.4661682,956,0.049056,1313
ROCAI,0.4552523,33,0.5884112,398,0.0648593,225
CORAI,0.4552523,33,0.6908411,95,0.0710035,66
CAIRO,0.4552523,33,0.6317757,231,0.0649135,223
ORCAI,0.4552523,33,0.464486,963,0.0517921,1119
OUSAR,0.4550654,34,0.4706542,936,0.0504772,1196
SAROU,0.4550654,34,0.5130841,741,0.0550224,908
MERAS,0.4548037,35,0.7557009,11,0.076394,14
SAREM,0.4548037,35,0.6168224,288,0.0630501,291
REMAS,0.4548037,35,0.6818692,114,0.0712526,61
RESMA,0.4548037,35,0.531215,660,0.0600116,500
MARES,0.4548037,35,0.7183178,41,0.0710564,65
ARMES,0.4548037,35,0.5807477,429,0.0547304,928
TERIA,0.4541308,36,0.6343925,222,0.0671465,162
ITERA,0.4541308,36,0.353271,1413,0.0444674,1732
ATIRE,0.4541308,36,0.3775701,1338,0.0398225,2078
CREIA,0.4536449,37,0.5278505,674,0.0548928,917
RECAI,0.4536449,37,0.5813084,426,0.0638757,255
ERICA,0.4536449,37,0.4506542,1028,0.0508833,1165
ROLAI,0.4520374,38,0.6102804,312,0.0654992,205
ORLAI,0.4520374,38,0.4863551,868,0.052432,1089
LOIRA,0.4520374,38,0.5736449,460,0.0631337,286
OBESA,0.4512897,39,0.3231776,1507,0.0426392,1882
TOSAI,0.4512897,39,0.5936449,379,0.0647094,227
COSIA,0.4508037,40,0.6239252,262,0.0649799,220
CISAO,0.4508037,40,0.6928972,88,0.0716455,57
CIOSA,0.4508037,40,0.4813084,893,0.0507768,1174
COAIS,0.4508037,40,0.6076636,322,0.051585,1126
SOCAI,0.4508037,40,0.5900935,391,0.0646834,229
SOCIA,0.4508037,40,0.5805607,430,0.063382,273
SACIO,0.4508037,40,0.5874766,403,0.0629431,295
COISA,0.4508037,40,0.5915888,386,0.0626688,311
LERIA,0.4504299,41,0.6229907,264,0.0664997,182
RALEI,0.4504299,41,0.5657944,497,0.0591781,571
RELIA,0.4504299,41,0.5936449,379,0.0632142,282
TEIAS,0.4496822,42,0.7214953,38,0.0735875,36
ATEIS,0.4496822,42,0.4528972,1017,0.0434988,1814
ESTAI,0.4496822,42,0.4035514,1237,0.0469653,1508
SEITA,0.4496822,42,0.5983178,357,0.0637033,259
IATES,0.4496822,42,0.6100935,313,0.0624984,319
TORAS,0.4492336,43,0.7598131,8,0.0767984,13
RASTO,0.4492336,43,0.584486,413,0.0619289,355
ASTRO,0.4492336,43,0.4302804,1120,0.0444646,1733
TOSAR,0.4492336,43,0.5642991,504,0.0622639,335
SORTA,0.4492336,43,0.6366355,216,0.0669141,170
ROTAS,0.4492336,43,0.7020561,69,0.0724496,47
RATOS,0.4492336,43,0.5979439,359,0.0602726,482
OSTRA,0.4492336,43,0.3631776,1379,0.0430209,1852
SECAI,0.4491963,44,0.5829907,417,0.0636997,260
CEIAS,0.4491963,44,0.7613084,7,0.0751595,24
SACIE,0.4491963,44,0.4988785,810,0.0537097,1000
CASEI,0.4491963,44,0.588972,395,0.0599601,504
CEAIS,0.4491963,44,0.6005607,348,0.0506013,1185
CAIES,0.4491963,44,0.7239252,34,0.069822,82
CAROS,0.4487477,45,0.695514,84,0.0661933,190
SACRO,0.4487477,45,0.562243,515,0.0608205,440
ROCAS,0.4487477,45,0.6971963,81,0.0722261,51
ARCOS,0.4487477,45,0.5293458,667,0.0488645,1331
CORAS,0.4487477,45,0.7996262,1,0.0783703,6
SOCAR,0.4487477,45,0.5607477,523,0.0622379,338
ORCAS,0.4487477,45,0.573271,462,0.0591589,572
ROSCA,0.4487477,45,0.5428037,609,0.0609351,433
RETAS,0.4476262,46,0.6949533,85,0.0714659,58
RESTA,0.4476262,46,0.5704673,477,0.0613842,383
ATEMO,0.4476262,46,0.4013084,1247,0.0441591,1763
TERAS,0.4476262,46,0.7527103,13,0.0758147,17
ARTES,0.4476262,46,0.5938318,378,0.0549438,914
ESTAR,0.4476262,46,0.3742056,1347,0.0445198,1725
ASILO,0.4475888,47,0.4252336,1143,0.0455463,1634
SOLAI,0.4475888,47,0.6119626,304,0.0653233,208
ALISO,0.4475888,47,0.446729,1045,0.046831,1521
ISOLA,0.4475888,47,0.2899065,1580,0.0387481,2141
SECAR,0.4471402,48,0.5536449,555,0.0612543,395
CERAS,0.4471402,48,0.7925234,2,0.0773867,8
ECOAM,0.4471402,48,0.3788785,1332,0.044751,1705
CESAR,0.4471402,48,0.5970093,364,0.0628522,301
CEAMO,0.4471402,48,0.548972,579,0.0512616,1144
ORNAI,0.446729,49,0.4971963,818,0.0523798,1092
ATEOU,0.4462804,50,0.3100935,1542,0.0340789,2464
LEIAS,0.4459813,51,0.7100935,51,0.0729407,45
ASILE,0.4459813,51,0.3366355,1467,0.0363129,2312
ILESA,0.4459813,51,0.3338318,1474,0.0422425,1909
SELAI,0.4459813,51,0.6048598,330,0.0643396,242
ALISE,0.4459813,51,0.3581308,1398,0.0375976,2224
LEAIS,0.4459813,51,0.5493458,577,0.0483826,1382
LESAI,0.4459813,51,0.5751402,452,0.0630789,289
ALIES,0.4459813,51,0.5721495,468,0.0544231,950
ORLAS,0.4455327,52,0.5951402,372,0.0597988,522
RALOS,0.4455327,52,0.6149533,293,0.060689,448
SOLAR,0.4455327,52,0.5826168,419,0.0628778,299
ROLAS,0.4455327,52,0.7190654,39,0.072866,46
REINA,0.4451215,53,0.548785,580,0.0617258,372
MOELA,0.4439252,54,0.5121495,745,0.0587131,609
LASER,0.4439252,54,0.5084112,764,0.0552959,886
LARES,0.4439252,54,0.7039252,65,0.0698304,81
REAJO,0.4439252,54,0.4947664,830,0.0509813,1163
AREJO,0.4439252,54,0.448972,1037,0.0485516,1367
MELAO,0.4439252,54,0.7091589,54,0.0755345,20
LESAR,0.4439252,54,0.5457944,595,0.0606334,457
SELAR,0.4439252,54,0.575514,450,0.0618942,360
LERAS,0.4439252,54,0.7413084,19,0.0751679,23
AMOLE,0.4439252,54,0.2764486,1595,0.0319352,2609
RALES,0.4439252,54,0.6745794,132,0.0665448,181
IRADO,0.4428037,55,0.4057944,1228,0.0388518,2135
ROIDA,0.4428037,55,0.5794393,432,0.0632741,278
DIRAO,0.4428037,55,0.6925234,89,0.0735116,37
ODIAR,0.4428037,55,0.4011215,1248,0.0483112,1391
RADIO,0.4428037,55,0.5717757,470,0.0620735,346
RODAI,0.4428037,55,0.5743925,456,0.0638138,257
ADIRO,0.4428037,55,0.4628037,971,0.0487763,1341
ARIDO,0.4428037,55,0.5226168,700,0.0516506,1124
EXARO,0.4423178,56,0.3564486,1402,0.0374924,2236
RADIE,0.4411963,57,0.4831776,884,0.0528401,1061
DAREI,0.4411963,57,0.5885981,397,0.0618263,365
ADERI,0.4411963,57,0.315514,1529,0.0337299,2486
ARDEI,0.4411963,57,0.4661682,956,0.046308,1562
SANEI,0.4406729,58,0.5783178,436,0.0589499,592
ANEIS,0.4406729,58,0.4652336,961,0.0437602,1790
PORIA,0.4406355,59,0.657757,164,0.0676292,153
PAIRO,0.4406355,59,0.6082243,319,0.0628405,302
PIRAO,0.4406355,59,0.726729,31,0.0742947,33
PIORA,0.4406355,59,0.491028,848,0.0513874,1139
NORAS,0.4402243,60,0.7218692,37,0.0750482,26
ROSNA,0.4402243,60,0.5297196,665,0.0602144,487
ORNAS,0.4402243,60,0.6059813,327,0.0597466,528
ACETO,0.4399626,61,0.4381308,1085,0.0454269,1642
PAREI,0.439028,62,0.6228037,265,0.0626094,316
PAIRE,0.439028,62,0.5196262,714,0.0536071,1010
RAPEI,0.439028,62,0.5170093,724,0.0570785,749
RENAS,0.4386168,63,0.7228037,35,0.0718301,55
EMANO,0.4386168,63,0.324486,1503,0.0342137,2453
AMENO,0.4386168,63,0.3899065,1290,0.0433472,1826
NOMEA,0.4386168,63,0.5938318,378,0.0676767,150
DOSAI,0.4383551,64,0.5757009,449,0.0634252,271
SADIO,0.4383551,64,0.5734579,461,0.0618975,359
IDOSA,0.4383551,64,0.2942056,1573,0.0392945,2110
DOAIS,0.4383551,64,0.5499065,574,0.0487289,1345
DOIAS,0.4383551,64,0.7106542,50,0.0732871,41
SAIDO,0.4383551,64,0.5880374,400,0.0626593,312
ORGIA,0.4369346,65,0.4424299,1066,0.0492508,1298
ROGAI,0.4369346,65,0.5758879,448,0.0636195,263
GORAI,0.4369346,65,0.6291589,241,0.0678103,145
VIRAO,0.4368972,66,0.7003738,72,0.0734305,38
VARIO,0.4368972,66,0.6383178,213,0.066326,186
LOTEA,0.4367477,67,0.6334579,226,0.0689934,106
TELAO,0.4367477,67,0.7061682,60,0.0749553,27
ATOLE,0.4367477,67,0.2792523,1591,0.0319662,2606
SEDIA,0.4367477,67,0.5594393,529,0.0613528,386
ADIES,0.4367477,67,0.5549533,549,0.0536848,1004
DOSAR,0.4362991,68,0.5463551,592,0.0609798,426
RODAS,0.4362991,68,0.6831776,109,0.0711806,62
POSAI,0.4361869,69,0.6099065,314,0.0642083,244
REAGI,0.4353271,70,0.3988785,1259,0.0382744,2171
GERAI,0.4353271,70,0.6220561,268,0.0668266,175
REGAI,0.4353271,70,0.568785,483,0.0626358,314
REGIA,0.4353271,70,0.5592523,530,0.0613344,388
GERIA,0.4353271,70,0.6125234,302,0.0655252,204
REVIA,0.4352897,71,0.5463551,592,0.0610508,415
AVIER,0.4352897,71,0.4130841,1196,0.0437257,1794
VAREI,0.4352897,71,0.5964486,366,0.0617451,369
VERIA,0.4352897,71,0.6242991,261,0.0657812,199
VIERA,0.4352897,71,0.4871028,865,0.0527329,1067
VARIE,0.4352897,71,0.5497196,575,0.0570926,747
AFIRO,0.434729,72,0.4605607,979,0.0486431,1356
DARES,0.4346916,73,0.6973832,80,0.0691931,95
DEMAO,0.4346916,73,0.6581308,162,0.0730413,43
MOEDA,0.4346916,73,0.5381308,631,0.0592466,565
ARDES,0.4346916,73,0.5749533,453,0.0536747,1005
DERAS,0.4346916,73,0.7347664,25,0.0745306,30
SEPIA,0.4345794,74,0.5465421,591,0.0609386,432
PESAI,0.4345794,74,0.6028037,339,0.0632247,281
ESPIA,0.4345794,74,0.362243,1382,0.0439807,1774
BARIO,0.4344299,75,0.6385047,212,0.0662046,189
BOIAR,0.4344299,75,0.5805607,430,0.0632723,279
PORAS,0.4341308,76,0.7760748,3,0.0762974,15
POSAR,0.4341308,76,0.5805607,430,0.0617629,367
PROAS,0.4341308,76,0.6001869,350,0.0592784,559
SOPRA,0.4341308,76,0.5284112,671,0.0597997,521
PROSA,0.4341308,76,0.4233645,1151,0.045804,1612
RASPO,0.4341308,76,0.5282243,672,0.0594211,548
IRMAS,0.4334953,77,0.5571963,538,0.0579163,678
RIMAS,0.4334953,77,0.6390654,211,0.0644461,235
MIRAS,0.4334953,77,0.7128972,44,0.0695875,86
FREAI,0.4331215,78,0.5041121,786,0.0534749,1020
FAREI,0.4331215,78,0.6130841,301,0.0619631,353
FERIA,0.4331215,78,0.6409346,206,0.0659991,194
FREIA,0.4331215,78,0.4945794,831,0.0521735,1104
FEIRA,0.4331215,78,0.584486,413,0.0616494,375
AFERI,0.4331215,78,0.313271,1535,0.0335966,2495
ARFEI,0.4331215,78,0.444486,1055,0.0455684,1632
BEIRA,0.4328224,79,0.5680374,486,0.0613102,389
RASPE,0.4325234,80,0.4396262,1078,0.0501877,1220
RAPES,0.4325234,80,0.6257944,257,0.0644452,236
PRESA,0.4325234,80,0.4457944,1050,0.0480138,1416
POEMA,0.4325234,80,0.5364486,638,0.0583825,637
PARES,0.4325234,80,0.7315888,28,0.0699762,78
PERAS,0.4325234,80,0.768972,4,0.0753137,21
PESAR,0.4325234,80,0.5734579,461,0.0607792,444
PERSA,0.4325234,80,0.5921495,385,0.0618394,364
AGIOS,0.432486,81,0.4906542,850,0.0476619,1442
ROEIS,0.432486,81,0.5650467,500,0.0483883,1380
OREIS,0.432486,81,0.4411215,1071,0.0353211,2373
GOIAS,0.432486,81,0.706729,58,0.0729499,44
SERIO,0.432486,81,0.6293458,240,0.0571355,740
OVAIS,0.4324486,82,0.3747664,1346,0.0334184,2511
VISAO,0.4324486,82,0.6429907,201,0.0687082,112
SOVAI,0.4324486,82,0.5646729,502,0.06316,284
AVISO,0.4324486,82,0.4257944,1140,0.0459459,1598
VOAIS,0.4324486,82,0.557757,535,0.0486478,1355
RUIAS,0.4321495,83,0.6745794,132,0.0651618,215
ENTOA,0.4314393,84,0.4171963,1178,0.0483981,1379
ENTAO,0.4314393,84,0.5282243,672,0.0601361,489
ANOTE,0.4314393,84,0.3418692,1448,0.0343499,2443
ETANO,0.4314393,84,0.3272897,1495,0.0342447,2450
APEOU,0.4311776,85,0.3065421,1548,0.0337705,2483
ACENO,0.4309533,86,0.3902804,1288,0.0432735,1833
GEIAS,0.4308785,87,0.6996262,75,0.0719662,54
AGEIS,0.4308785,87,0.4448598,1053,0.0430521,1850
GEAIS,0.4308785,87,0.5388785,628,0.0474081,1469
VAIES,0.4308411,88,0.6740187,133,0.0668848,171
SEIVA,0.4308411,88,0.5517757,564,0.0613543,385
AVISE,0.4308411,88,0.3371963,1465,0.0367125,2292
VEIAS,0.4308411,88,0.7114019,48,0.0722223,52
ESVAI,0.4308411,88,0.373271,1351,0.0452184,1663
AVIES,0.4308411,88,0.551215,567,0.0535379,1018
RASGO,0.4304299,89,0.5379439,632,0.0595808,535
ROGAS,0.4304299,89,0.6846729,104,0.0709862,67
GORAS,0.4304299,89,0.7379439,21,0.075177,22
SOGRA,0.4304299,89,0.5428037,609,0.0600195,497
GRAOS,0.4304299,89,0.4695327,941,0.0404194,2034
SAGRO,0.4304299,89,0.5497196,575,0.0595806,536
SORVA,0.4303925,90,0.5900935,391,0.0645651,233
SOVAR,0.4303925,90,0.5353271,643,0.0607145,447
SIFAO,0.4302804,91,0.6138318,298,0.0682624,131
MOURA,0.4300935,92,0.5409346,617,0.0591981,569
ARMOU,0.4300935,92,0.3704673,1361,0.036737,2287
SABIO,0.4299813,93,0.5566355,541,0.0612471,398
BOIAS,0.4299813,93,0.7186916,40,0.0730846,42
BISAO,0.4299813,93,0.6431776,200,0.0685869,116
REGAS,0.4288224,94,0.6775701,125,0.0700026,77
OMEGA,0.4288224,94,0.3241121,1505,0.0417089,1949
ERGAS,0.4288224,94,0.5663551,495,0.0584394,631
GERAS,0.4288224,94,0.7308411,29,0.0741934,34
MAGOE,0.4288224,94,0.4891589,858,0.053228,1037
GEAMO,0.4288224,94,0.4872897,864,0.0480683,1414
SAGRE,0.4288224,94,0.4611215,976,0.0503472,1205
VARES,0.428785,95,0.7052336,64,0.0691119,97
ERVAS,0.428785,95,0.5534579,556,0.0581558,658
SERVA,0.428785,95,0.5829907,417,0.0635814,265
VERSA,0.428785,95,0.5657944,497,0.0609751,427
VERAS,0.428785,95,0.7426168,17,0.0744494,31
SAFEI,0.4286729,96,0.5099065,757,0.0565771,801
FEIAS,0.4286729,96,0.7280374,30,0.0724402,48
AFIES,0.4286729,96,0.5527103,560,0.0535516,1016
SABEI,0.4283738,97,0.5147664,733,0.0566663,789
SOFRA,0.4282243,98,0.5196262,714,0.0594743,545
AFROS,0.4282243,98,0.5242991,692,0.049923,1241
FAROS,0.4282243,98,0.662243,153,0.063474,268
ORFAS,0.4282243,98,0.5375701,634,0.0573738,721
FORAS,0.4282243,98,0.7663551,5,0.075651,19
RABOS,0.4279252,99,0.562243,515,0.0583532,640
OBRAS,0.4279252,99,0.5691589,481,0.0602329,486
BROAS,0.4279252,99,0.5740187,458,0.0582927,645
SABOR,0.4279252,99,0.4257944,1140,0.048365,1385
SOBRA,0.4279252,99,0.524486,691,0.0595635,537
ANELO,0.4277383,100,0.4026168,1242,0.0436707,1802
ADOTE,0.427514,101,0.3261682,1498,0.0338089,2481
ADOCE,0.427028,102,0.2914019,1578,0.0323761,2575
ACODE,0.427028,102,0.3028037,1555,0.032395,2574
CEADO,0.427028,102,0.5639252,506,0.0510454,1159
CODEA,0.427028,102,0.6657944,148,0.0699432,79
FRASE,0.4266168,103,0.3435514,1440,0.0299238,2726
FRESA,0.4266168,103,0.4360748,1094,0.0473674,1471
ARFES,0.4266168,103,0.553271,557,0.0529352,1055
FERAS,0.4266168,103,0.7592523,9,0.0746673,29
OTIMA,0.4263178,104,0.3721495,1355,0.0446076,1719
TIMAO,0.4263178,104,0.633271,227,0.067519,155
SABRE,0.4263178,104,0.4428037,1064,0.0498912,1244
TOMAI,0.4263178,104,0.5738318,459,0.0621549,341
TIRAS,0.4263178,104,0.7099065,52,0.0690083,105
OMITA,0.4263178,104,0.4085981,1216,0.0459493,1596
BARES,0.4263178,104,0.7054206,63,0.0689906,107
MOITA,0.4263178,104,0.6003738,349,0.0627276,308
ABRES,0.4263178,104,0.5848598,412,0.0557943,852
SABER,0.4263178,104,0.4854206,873,0.0542208,959
TRAIS,0.4263178,104,0.4835514,882,0.0393232,2109
RISCA,0.4258318,105,0.4928972,838,0.0531449,1042
RICAS,0.4258318,105,0.6472897,191,0.064436,237
CRIAS,0.4258318,105,0.6841121,107,0.0654532,206
ICAMO,0.4258318,105,0.32,1514,0.0331477,2529
MACIO,0.4258318,105,0.5824299,420,0.0609837,424
COMIA,0.4258318,105,0.6041121,333,0.0624254,325
CAIMO,0.4258318,105,0.6048598,330,0.0619088,358
OUSAM,0.4256449,106,0.502243,795,0.0503237,1208
USAMO,0.4256449,106,0.3168224,1525,0.0327313,2552
SUAMO,0.4256449,106,0.4639252,966,0.041088,1989
POETA,0.4253458,107,0.5757009,449,0.0597551,526
EPOCA,0.4248598,108,0.3183178,1519,0.0406576,2016
MATEI,0.4247103,109,0.5454206,597,0.0566263,794
TEIMA,0.4247103,109,0.551028,568,0.0597921,523
EMITA,0.4247103,109,0.4142056,1190,0.0464696,1553
TEMIA,0.4247103,109,0.5571963,538,0.0598698,514
METIA,0.4247103,109,0.573271,462,0.0606624,454
CAIOU,0.424486,110,0.5136449,738,0.0518286,1117
TOMAR,0.4242617,111,0.544486,601,0.0597094,530
MORTA,0.4242617,111,0.6315888,232,0.0649548,222
CEIAM,0.4242243,112,0.6547664,167,0.0651937,214
CAIEM,0.4242243,112,0.6173832,286,0.0598562,516
ROCAM,0.4237757,113,0.5906542,389,0.0622604,336
CARMO,0.4237757,113,0.6360748,217,0.064136,247
MACRO,0.4237757,113,0.5571963,538,0.0588611,599
MARCO,0.4237757,113,0.6037383,335,0.0630831,288
CORAM,0.4237757,113,0.6930841,87,0.0684046,124
ORCAM,0.4237757,113,0.466729,954,0.0491932,1304
CROMA,0.4237757,113,0.453271,1015,0.0475559,1451
ATUEI,0.4233645,114,0.4024299,1243,0.0414361,1968
ATURO,0.4229159,115,0.4190654,1169,0.0438943,1779
AUTOR,0.4229159,115,0.42,1165,0.0378417,2206
OUTRA,0.4229159,115,0.4585047,990,0.0471576,1490
ACUEI,0.4228785,116,0.4,1253,0.0413313,1974
TREMA,0.4226542,117,0.4358879,1095,0.0481937,1399
TRAEM,0.4226542,117,0.444486,1055,0.0379308,2197
LIRAS,0.4226168,118,0.6985047,78,0.0683615,127
LIMAO,0.4226168,118,0.6218692,269,0.0668722,172
IMOLA,0.4226168,118,0.2900935,1579,0.0384723,2157
ARCOU,0.4224299,119,0.3786916,1333,0.0367269,2289
ROUCA,0.4224299,119,0.5218692,703,0.0582685,647
CREMA,0.4221682,120,0.4757009,915,0.0497656,1259
APELO,0.4216449,121,0.386729,1303,0.043101,1843
ATURE,0.4213084,122,0.3304673,1486,0.0346609,2425
ALIOU,0.421271,123,0.3618692,1384,0.0364297,2305
EVOCA,0.4211215,124,0.3147664,1531,0.0405394,2026
COEVA,0.4211215,124,0.5527103,560,0.059479,544
ALIEM,0.4210093,125,0.4656075,959,0.0444573,1734
RAJEI,0.4210093,125,0.5042991,785,0.0565172,806
ERIJA,0.4210093,125,0.4254206,1142,0.0495206,1276
LEIAM,0.4210093,125,0.6035514,336,0.062975,294
LIAME,0.4210093,125,0.3663551,1372,0.033003,2534
MELAI,0.4210093,125,0.5998131,351,0.0623803,329
REZAI,0.4208972,126,0.5431776,607,0.0618644,361
ZERAI,0.4208972,126,0.5925234,383,0.0660448,193
RECUA,0.4208224,127,0.5097196,758,0.0569437,761
ORLAM,0.4205607,128,0.4885981,860,0.0498331,1253
MOLAR,0.4205607,128,0.5775701,440,0.0609185,434
MORAL,0.4205607,128,0.5805607,430,0.0636505,262
ROLAM,0.4205607,128,0.6125234,302,0.0629003,297
MATOS,0.4198131,129,0.5945794,375,0.0581373,660
TOMAS,0.4198131,129,0.6826168,110,0.0695217,88
TOSAM,0.4198131,129,0.5958879,368,0.0621104,344
AFETO,0.4194393,130,0.4349533,1099,0.0451188,1673
MOCAS,0.4193271,131,0.6938318,86,0.0700908,74
SOCAM,0.4193271,131,0.5923364,384,0.0620844,345
MASCO,0.4193271,131,0.5463551,592,0.0583608,639
MOSCA,0.4193271,131,0.5394393,625,0.0587997,606
COSAM,0.4193271,131,0.6357009,218,0.0636823,261
MACOS,0.4193271,131,0.5897196,393,0.0579138,679
COMAS,0.4193271,131,0.7224299,36,0.0710936,63
LOURA,0.419215,132,0.5265421,681,0.057972,677
RALOU,0.419215,132,0.4642991,964,0.0485515,1368
ABETO,0.4191402,133,0.4358879,1095,0.0451343,1670
BEATO,0.4191402,133,0.5385047,629,0.0495756,1271
BOATE,0.4191402,133,0.4570093,997,0.0413259,1975
RALEM,0.4189533,134,0.5680374,486,0.0565791,800
MELAR,0.4189533,134,0.5704673,477,0.0599348,506
LERAM,0.4189533,134,0.6347664,221,0.0652022,213
OTICA,0.4186542,135,0.3766355,1341,0.0445474,1724
TOCAI,0.4186542,135,0.5820561,422,0.0621448,342
ATICO,0.4186542,135,0.4437383,1059,0.0459911,1590
COTAI,0.4186542,135,0.626729,253,0.0639402,250
TICAO,0.4186542,135,0.6414953,204,0.0675089,156
AONDE,0.4185047,136,0.513271,740,0.0486351,1358
ONDEA,0.4185047,136,0.4523364,1019,0.0524645,1086
AUTOS,0.4184673,137,0.5581308,533,0.0476539,1443
MATES,0.4182056,138,0.6542056,169,0.0639931,249
TEMAS,0.4182056,138,0.675514,130,0.068538,118
METAS,0.4182056,138,0.6915888,92,0.0693306,91
JOIAS,0.4181682,139,0.6805607,117,0.0721946,53
OUCAS,0.4179813,140,0.5971963,363,0.0577249,696
SACOU,0.4179813,140,0.4441121,1057,0.0477356,1434
CASOU,0.4179813,140,0.4874766,863,0.0493335,1291
ACUSO,0.4179813,140,0.3833645,1314,0.0411061,1988
CAUSO,0.4179813,140,0.5514019,566,0.0570683,751
ALEGO,0.4179439,141,0.4078505,1220,0.0436421,1804
GOELA,0.4179439,141,0.4872897,864,0.0565125,808
GOLEA,0.4179439,141,0.64,208,0.0684353,123
